original_cluster,new_cluster_1
1,B CELL
2,B CELL
3,T CELL CD4
4,T CELL CD8
5,T CELL CD4
6,B CELL
7,B CELL
8,T CELL CD4
9,T CELL CD8
10,T CELL CD8
11,NK CELL
12,NK CELL
13,T CELL CD8
14,MYELOID
15,MYELOID
16,MYELOID
17,T CELL CD4
18,T CELL CD4
19,T CELL CD4
20,MYELOID
